URL,Number of Errors
https://www.autoexpress.co.uk/toyota/gt-86/59181/toyota-gt-86-vs-rivals,0
https://www.autoexpress.co.uk/tesla/352330/teslas-new-low-cost-long-life-battery-set-2021-launch,9
https://www.autoexpress.co.uk/citroen/berlingo/mpg,9
https://www.autoexpress.co.uk/honda/civic/104159/new-honda-civic-diesel-gains-nine-speed-automatic-gearbox,5
https://www.autoexpress.co.uk/land-rover/range-rover-sport/96701/new-2017-range-rover-sport-gets-cheaper-cleaner-4cyl-diesel,5
https://www.autoexpress.co.uk/car-reviews/14055/abarth-punto-vs-corsa-sri,5
https://www.autoexpress.co.uk/mercedes/sl/88316/mercedes-sl400-review-pictures,5
https://www.autoexpress.co.uk/accessories-tyres/102132/gran-turismo-sport-review,5
https://www.autoexpress.co.uk/mercedes/e-class/15169/mercedes-e270-cdi,5
https://www.autoexpress.co.uk/dacia/duster/99962/dacia-duster-best-small-4x4s,5
https://www.autoexpress.co.uk/volvo/xc60/100095/new-volvo-xc60-t5-petrol-review,5
https://www.autoexpress.co.uk/accessories-tyres/60792/back2you-gps-tracking-device,5
https://www.autoexpress.co.uk/jaguar/e-pace/108504/new-2020-jaguar-e-pace-details-specs-and-sale-date-pictures,5
https://www.autoexpress.co.uk/seat/leon/90975/seat-leon-x-perience-review-pictures,5
https://www.autoexpress.co.uk/mercedes/c-class/reliability,5
https://www.autoexpress.co.uk/volkswagen/caravelle,5
https://www.autoexpress.co.uk/car-news/electric-cars/101041/how-to-buy-an-electric-car,5
